City ID,City,Country,Date,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
69,Baruun-Urt,MN,2020-06-19 23:25:24,46.68,113.28,66.31,69,99,14.9
70,Lebu,CL,2020-06-19 23:25:24,-37.62,-73.65,52.16,87,91,13.38
71,Kulim,MY,2020-06-19 23:25:24,5.37,100.56,78.01,100,20,3.36
72,Mitsamiouli,KM,2020-06-19 23:25:24,-11.38,43.28,78.21,66,53,13.06
73,Chokurdakh,RU,2020-06-19 23:25:25,70.63,147.92,88.84,18,18,12.5
74,Dwārka,IN,2020-06-19 23:25:25,22.24,68.97,85.91,79,86,18.66
75,Hermanus,ZA,2020-06-19 23:25:25,-34.42,19.23,54.0,91,0,11.14
76,Natal,BR,2020-06-19 23:25:25,-5.79,-35.21,75.2,94,40,4.7
77,Pergamino,AR,2020-06-19 23:25:25,-33.89,-60.57,52.0,93,5,1.01
78,Kāvali,IN,2020-06-19 23:25:07,14.92,79.98,85.71,64,99,11.41
79,Ca Mau,VN,2020-06-19 23:20:55,9.18,105.15,79.81,86,100,2.3
80,Riyadh,SA,2020-06-19 23:21:30,24.69,46.72,82.4,20,99,4.7
81,La Rioja,AR,2020-06-19 23:25:25,-29.41,-66.85,60.13,37,20,2.86
82,Buala,SB,2020-06-19 23:25:26,-8.14,159.59,84.38,71,7,5.77
83,Huarmey,PE,2020-06-19 23:25:26,-10.07,-78.15,64.99,80,16,11.68
84,Port Blair,IN,2020-06-19 23:25:26,11.67,92.75,82.96,82,100,10.18
85,Atar,MR,2020-06-19 23:25:26,20.52,-13.05,97.41,18,17,10.09
86,Cherskiy,RU,2020-06-19 23:25:26,68.75,161.3,80.11,27,41,5.26
87,Muros,ES,2020-06-19 23:25:26,42.78,-9.06,62.01,88,39,3.0
88,Saint-Augustin,CA,2020-06-19 23:24:17,51.23,-58.65,46.89,83,100,7.16
89,Niksar,TR,2020-06-19 23:25:26,40.59,36.95,58.5,78,71,1.12
90,Sola,VU,2020-06-19 23:25:26,-13.88,167.55,79.68,78,84,18.79
91,Sooke,CA,2020-06-19 23:24:43,48.37,-123.73,64.4,63,90,5.82
92,Lotofaga,WS,2020-06-19 23:25:26,-13.98,-171.86,84.2,83,75,10.29
93,Touros,BR,2020-06-19 23:25:27,-5.2,-35.46,75.2,100,90,4.7
94,Koz'modem'yansk,RU,2020-06-19 23:25:27,56.34,46.57,59.0,62,0,13.42
95,Caconda,AO,2020-06-19 23:25:27,-13.73,15.07,49.86,51,17,2.73
96,Namwala,ZM,2020-06-19 23:25:27,-15.75,26.44,50.81,75,74,3.69
97,Havre-St-Pierre,CA,2020-06-19 23:25:27,50.23,-63.6,50.0,93,90,9.17
98,Sharlyk,RU,2020-06-19 23:25:27,52.92,54.75,51.73,81,0,3.6
99,Mastic Beach,US,2020-06-19 23:25:27,40.77,-72.85,73.0,73,1,9.17
100,La Asuncion,VE,2020-06-19 23:25:27,11.03,-63.86,93.2,56,37,19.46
